Feature,Original_Value,result_value
key_rate,0.295974,1.000000
price,0.260300,0.890786
region,0.149979,0.553042
year,0.094776,0.384037
Округ,0.083816,0.350486
fulfilled,0.082025,0.345003
quantity_log,0.013205,0.134311
group,0.005754,0.111501
"До 1 года, включая ''до востребования''_15_30",0.005586,0.110985
quantity_rolling_3,0.001998,0.100000
