Feature,Original_Value,result_value
price,1.808227,1.000000
region,0.368462,0.273051
key_rate,0.217470,0.196814
quantity_log,0.216910,0.196531
year,0.100711,0.137861
"До 1 года, включая ''до востребования''_15_30",0.043345,0.108896
Округ,0.043026,0.108735
group,0.041587,0.108009
quantity_rolling_3,0.037374,0.105882
fulfilled,0.025725,0.100000
